Time (sec), Theta_0, Theta_1, Theta_2, Theta_3, Theta_4, ThetaDes_0, ThetaDes_1, ThetaDes_2, ThetaDes_3, ThetaDes_4
5.065000, -0.010245, -0.010245, 0.422573, -0.919008, -0.967712, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.066000, -0.008432, -0.008432, 0.422667, -0.919132, -0.967883, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.066000, -0.010342, -0.010342, 0.422762, -0.919039, -0.968062, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.066000, -0.008510, -0.008510, 0.422856, -0.919163, -0.968231, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.066000, -0.010390, -0.010390, 0.422950, -0.919072, -0.968408, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.066000, -0.008569, -0.008569, 0.423043, -0.919194, -0.968575, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.067000, -0.010454, -0.010454, 0.423137, -0.919102, -0.968750, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.072000, -0.008613, -0.008613, 0.423229, -0.919225, -0.968914, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.072000, -0.010416, -0.010416, 0.423322, -0.919134, -0.969087, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.073000, -0.008551, -0.008551, 0.423413, -0.919255, -0.969248, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.073000, -0.010361, -0.010361, 0.423505, -0.919164, -0.969419, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.073000, -0.008486, -0.008486, 0.423595, -0.919285, -0.969578, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.073000, -0.010272, -0.010272, 0.423686, -0.919195, -0.969746, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.074000, -0.008417, -0.008417, 0.423776, -0.919315, -0.969902, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.074000, -0.010210, -0.010210, 0.423865, -0.919224, -0.970068, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
